d_sample,gauss_sigma,stack,cell,n_steps,n_lstm_layers,n_lstm_units_1,n_lstm_units_2,activation_output_layer,n_epochs,optimizer,lr,metric,num_repeat,d_t,theory_model,loss_funcs,lambda_mse,lambda_soc,feature_indices,feature_range_cur_low,feature_range_cur_high,feature_range_charge_low,feature_range_charge_high,feature_range_volt_low,feature_range_volt_high,boundary_cur_low,boundary_cur_high,boundary_charge_low,boundary_charge_high,boundary_voltage_low,boundary_voltage_high,seed,experiment_name,method,input_features,model_save_path,results_path,n_features,use_case_1_rmse,use_case_1_mae,use_case_2_rmse,use_case_2_mae,use_case_3_rmse,use_case_3_mae,avg_rmse,avg_mae,results_folder
2,10,0,4,100,2,20,20,tanh,20,Adam,0.001,mae,1,0.25,2228,"['mse', 'soc']",1,0.01,"{'current': 0, 'charge': 1, 'init_vol': 2, 'ocv': 3, 'theory': 4, 'residual': 5}",-1,1,-1,1,-1,1,-10,10,-33.2,33.2,3.304,3.982,0,loss_params_config,loss,"['current', 'charge', 'init_vol']",../../../models/experiments/loss_params_config/20240508183103/model,../../../models/experiments/loss_params_config/20240508183103/results,3,20.99262014421462,20.687446067810072,16.078994659779948,15.030546790092238,16.035503404072383,14.508242665529258,17.702372736022316,16.742078507810522,../models/experiments/loss_params_config/20240508183103
2,10,0,4,100,2,20,20,tanh,10,Adam,0.001,mae,1,0.25,2228,"['mse', 'soc']",1,0.1,"{'current': 0, 'charge': 1, 'init_vol': 2, 'ocv': 3, 'theory': 4, 'residual': 5}",-1,1,-1,1,-1,1,-10,10,-33.2,33.2,3.304,3.982,4,loss_params_config,loss,"['current', 'charge']",../../../models/experiments/loss_params_config/20240509201307/model,../../../models/experiments/loss_params_config/20240509201307/results,2,23.64564245168378,23.156300971984876,23.136428332545417,20.811475329245305,17.47849506051521,17.166714130640038,21.420188614914803,20.378163477290073,../models/experiments/loss_params_config/20240509201307
2,10,0,4,100,1,20,20,tanh,20,Adam,0.001,mae,1,0.25,2228,"['mse', 'soc']",1,10.0,"{'current': 0, 'charge': 1, 'init_vol': 2, 'ocv': 3, 'theory': 4, 'residual': 5}",-1,1,-1,1,-1,1,-10,10,-33.2,33.2,3.304,3.982,4,loss_params_config,loss,['current'],../../../models/experiments/loss_params_config/20240509213832/model,../../../models/experiments/loss_params_config/20240509213832/results,1,23.536502868325872,22.4502661526998,28.929717119269377,25.628147950941543,25.499075307840844,23.943293451070794,25.988431765145364,24.007235851570712,../models/experiments/loss_params_config/20240509213832
2,10,0,4,100,1,20,20,tanh,10,Adam,0.001,mae,1,0.25,2228,"['mse', 'soc']",1,100.0,"{'current': 0, 'charge': 1, 'init_vol': 2, 'ocv': 3, 'theory': 4, 'residual': 5}",-1,1,-1,1,-1,1,-10,10,-33.2,33.2,3.304,3.982,0,loss_params_config,loss,"['current', 'charge', 'init_vol', 'ocv']",../../../models/experiments/loss_params_config/20240508213407/model,../../../models/experiments/loss_params_config/20240508213407/results,4,10.898006357102824,10.344066363016825,11.237628904775422,10.115263411614228,10.149710818214812,9.458335520029062,10.761782026697686,9.972555098220036,../models/experiments/loss_params_config/20240508213407
2,10,0,4,100,2,20,20,tanh,10,Adam,0.001,mae,1,0.25,2228,"['mse', 'soc']",1,0.1,"{'current': 0, 'charge': 1, 'init_vol': 2, 'ocv': 3, 'theory': 4, 'residual': 5}",-1,1,-1,1,-1,1,-10,10,-33.2,33.2,3.304,3.982,3,loss_params_config,loss,"['current', 'charge']",../../../models/experiments/loss_params_config/20240509135752/model,../../../models/experiments/loss_params_config/20240509135752/results,2,23.926014517682574,23.41115151850384,24.226962976440287,21.80660535012524,15.503952641671885,14.701377894878394,21.218976711931585,19.97304492116916,../models/experiments/loss_params_config/20240509135752
2,10,0,4,100,1,20,20,tanh,50,Adam,0.001,mae,1,0.25,2228,"['mse', 'soc']",1,0.001,"{'current': 0, 'charge': 1, 'init_vol': 2, 'ocv': 3, 'theory': 4, 'residual': 5}",-1,1,-1,1,-1,1,-10,10,-33.2,33.2,3.304,3.982,0,loss_params_config,loss,"['current', 'charge']",../../../models/experiments/loss_params_config/20240508171624/model,../../../models/experiments/loss_params_config/20240508171624/results,2,23.275571701820198,23.029741237640394,13.848951372099501,12.097356889786269,18.173698864404955,11.863921030759807,18.43274064610822,15.663673052728823,../models/experiments/loss_params_config/20240508171624
2,10,0,4,100,1,20,20,tanh,20,Adam,0.001,mae,1,0.25,2228,"['mse', 'soc']",1,0.01,"{'current': 0, 'charge': 1, 'init_vol': 2, 'ocv': 3, 'theory': 4, 'residual': 5}",-1,1,-1,1,-1,1,-10,10,-33.2,33.2,3.304,3.982,1,loss_params_config,loss,"['current', 'charge', 'init_vol']",../../../models/experiments/loss_params_config/20240509001804/model,../../../models/experiments/loss_params_config/20240509001804/results,3,13.466509696267996,13.14446713638307,5.927995692319708,5.205279730519944,8.715726272321385,5.949128130674513,9.37007722030303,8.099624999192509,../models/experiments/loss_params_config/20240509001804
2,10,0,4,100,1,20,20,tanh,50,Adam,0.001,mae,1,0.25,2228,"['mse', 'soc']",1,0.001,"{'current': 0, 'charge': 1, 'init_vol': 2, 'ocv': 3, 'theory': 4, 'residual': 5}",-1,1,-1,1,-1,1,-10,10,-33.2,33.2,3.304,3.982,2,loss_params_config,loss,"['current', 'charge', 'init_vol']",../../../models/experiments/loss_params_config/20240509054804/model,../../../models/experiments/loss_params_config/20240509054804/results,3,4.907344830672452,4.003438269297266,15.450151063328367,14.916257456502603,22.043492406497833,21.83278059840203,14.133662766832884,13.584158774733966,../models/experiments/loss_params_config/20240509054804
2,10,0,4,100,2,20,20,tanh,10,Adam,0.001,mae,1,0.25,2228,"['mse', 'soc']",1,1.0,"{'current': 0, 'charge': 1, 'init_vol': 2, 'ocv': 3, 'theory': 4, 'residual': 5}",-1,1,-1,1,-1,1,-10,10,-33.2,33.2,3.304,3.982,0,loss_params_config,loss,"['current', 'charge', 'init_vol']",../../../models/experiments/loss_params_config/20240508201121/model,../../../models/experiments/loss_params_config/20240508201121/results,3,19.198836781578066,15.818426676432372,11.315343273194584,9.492927920433816,20.168569237590113,16.160627231597893,16.89424976412092,13.82399394282136,../models/experiments/loss_params_config/20240508201121
2,10,0,4,100,1,20,20,tanh,10,Adam,0.001,mae,1,0.25,2228,"['mse', 'soc']",1,0.1,"{'current': 0, 'charge': 1, 'init_vol': 2, 'ocv': 3, 'theory': 4, 'residual': 5}",-1,1,-1,1,-1,1,-10,10,-33.2,33.2,3.304,3.982,2,loss_params_config,loss,"['current', 'charge', 'init_vol']",../../../models/experiments/loss_params_config/20240509072003/model,../../../models/experiments/loss_params_config/20240509072003/results,3,4.123816800387695,3.4357199732462407,12.85747554267531,12.444058839121166,12.322397847160964,11.740938849449165,9.767896730074655,9.20690588727219,../models/experiments/loss_params_config/20240509072003
2,10,0,4,100,2,20,20,tanh,10,Adam,0.001,mae,1,0.25,2228,"['mse', 'soc']",1,100.0,"{'current': 0, 'charge': 1, 'init_vol': 2, 'ocv': 3, 'theory': 4, 'residual': 5}",-1,1,-1,1,-1,1,-10,10,-33.2,33.2,3.304,3.982,1,loss_params_config,loss,"['current', 'charge', 'init_vol', 'ocv']",../../../models/experiments/loss_params_config/20240509041139/model,../../../models/experiments/loss_params_config/20240509041139/results,4,7.475832172646687,5.524040247599269,12.587970117001836,11.175454582706568,28.45446113120298,28.305313943624505,16.172754473617164,15.001602924643448,../models/experiments/loss_params_config/20240509041139
2,10,0,4,100,2,20,20,tanh,10,Adam,0.001,mae,1,0.25,2228,"['mse', 'soc']",1,0.001,"{'current': 0, 'charge': 1, 'init_vol': 2, 'ocv': 3, 'theory': 4, 'residual': 5}",-1,1,-1,1,-1,1,-10,10,-33.2,33.2,3.304,3.982,4,loss_params_config,loss,"['current', 'charge', 'init_vol']",../../../models/experiments/loss_params_config/20240509182641/model,../../../models/experiments/loss_params_config/20240509182641/results,3,18.898291734151368,18.285178293863947,19.780612620366142,17.57717689637217,15.408987897409343,15.0634559082985,18.029297417308953,16.975270366178204,../models/experiments/loss_params_config/20240509182641
